,semiangle_cutoff,defocus,energy,max_iter,step_size,identical_slices_iter,slice_thicknesses,num_slices,NMSE
293,19.7,139.0,151000.0,20.0,0.63,485.0,24.2,72.0,0.8583605289459229
294,20.9,66.0,159000.0,20.0,0.96,484.0,20.8,16.0,0.6574079990386963
295,25.7,171.0,8000.0,14.0,0.06,465.0,2.8,61.0,0.5600446462631226
296,22.7,51.0,148000.0,20.0,0.36,216.0,36.0,16.0,0.5377054810523987
297,12.9,112.0,286000.0,4.0,0.69,443.0,16.8,29.0,0.8243939876556396
298,15.5,111.0,168000.0,14.0,0.63,123.0,45.9,43.0,0.8272315859794617
299,11.4,23.0,209000.0,19.0,0.26,55.0,49.2,67.0,0.4612659811973572
300,3.1,66.0,297000.0,7.0,0.61,179.0,43.7,50.0,0.9401690959930421
301,4.4,137.0,163000.0,3.0,0.83,410.0,37.3,63.0,0.9878126382827759
302,12.1,76.0,148000.0,2.0,0.79,200.0,43.0,3.0,0.7122824788093567
303,26.1,188.0,276000.0,10.0,0.46,232.0,14.3,9.0,0.4187466502189636
304,25.4,93.0,9000.0,12.0,0.09,456.0,5.6,44.0,0.5656698346138
305,2.7,126.0,15000.0,15.0,0.14,148.0,7.4,23.0,0.5805107951164246
306,18.6,69.0,155000.0,16.0,0.77,57.0,6.7,14.0,0.5967212915420532
307,8.4,106.0,63000.0,14.0,0.91,214.0,7.9,89.0,0.5908783674240112
308,27.2,66.0,67000.0,3.0,0.48,219.0,24.3,68.0,0.7048131227493286
309,11.1,179.0,51000.0,12.0,0.15,249.0,30.3,37.0,0.541545033454895
310,25.7,189.0,261000.0,11.0,0.28,144.0,9.6,46.0,0.4518003761768341
311,5.8,74.0,18000.0,16.0,0.17,185.0,12.9,3.0,0.47824835777282715
